Title,Active Golfers,Entries,URL
"awesome VimGolf challenge: Simple, Practical, and Common @",7314,33158,https://www.vimgolf.com/challenges/55b18bbea9c2c30d04000001
awesome VimGolf challenge: Just the middle @,4146,11302,https://www.vimgolf.com/challenges/54862fbb3f90ac0002904cf5
awesome VimGolf challenge: I forgot quotes @,4140,15861,https://www.vimgolf.com/challenges/5462e3f41198b80002512673
awesome VimGolf challenge: Words in parens @,3935,12798,https://www.vimgolf.com/challenges/5192f96ad8df110002000002
awesome VimGolf challenge: One number per line @,3822,18518,https://www.vimgolf.com/challenges/56fb2e75ccffcc0009026473
awesome VimGolf challenge: A HAPPY NEW YEAR 2014 ! @,3650,10576,https://www.vimgolf.com/challenges/52c3cb0d9b8634000200000e
awesome VimGolf challenge: Add semicolons @,3025,10725,https://www.vimgolf.com/challenges/5cf62aa56c09760009d6b2f3
awesome VimGolf challenge: Vice versa @,2074,7651,https://www.vimgolf.com/challenges/55bcdc3ef4219f456102374f
awesome VimGolf challenge: V to the i @,1865,4653,https://www.vimgolf.com/challenges/53d93fc3768e280002124f23
awesome VimGolf challenge: Box it @,1850,7766,https://www.vimgolf.com/challenges/5c742a5a50bdf70006d43280
awesome VimGolf challenge: switch variable @,1724,4997,https://www.vimgolf.com/challenges/4f0720c8f037090001000007
awesome VimGolf challenge: prepend * to every non-blank line @,1496,6130,https://www.vimgolf.com/challenges/5e4dfcccaa2db400090b66c3
awesome VimGolf challenge: Swap values @,1248,4503,https://www.vimgolf.com/challenges/56d70389bbbe462aff01d42a
awesome VimGolf challenge: Basic renumbering @,1246,5493,https://www.vimgolf.com/challenges/54595b13128576000257a3c1
awesome VimGolf challenge: Collect List @,1177,4214,https://www.vimgolf.com/challenges/559c30948ef59c0eb7000002
"awesome VimGolf challenge: remove lines containing the word ""reader"" @",1132,3492,https://www.vimgolf.com/challenges/5c264e64e8c64916d7fca650
awesome VimGolf challenge: -a-b-c- @,1122,3150,https://www.vimgolf.com/challenges/540629666a1e4000020d9e5a
awesome VimGolf challenge: quotes inside quotes  @,1063,3092,https://www.vimgolf.com/challenges/51f4a64c6813e30002000018
awesome VimGolf challenge: Rural Post @,1048,4263,https://www.vimgolf.com/challenges/5f1e0217becb80000692b9c4
awesome VimGolf challenge: Applying same text modification in several lines @,830,2804,https://www.vimgolf.com/challenges/5bbb82f969a25f0009541350
awesome VimGolf challenge: Com(m)a Trouble @,790,3512,https://www.vimgolf.com/challenges/5ba020f91abf2d000951055c
awesome VimGolf challenge: replacing each line of a block selection @,758,2895,https://www.vimgolf.com/challenges/4f438739f5a8d70001000019
awesome VimGolf challenge: Extract argument from function @,738,2270,https://www.vimgolf.com/challenges/536cfa23fcccd100025678bd
awesome VimGolf challenge: Vertical Limit @,724,2389,https://www.vimgolf.com/challenges/50048db8cdc4060002000004
awesome VimGolf challenge: Every other line @,693,2858,https://www.vimgolf.com/challenges/57d7d06d9ce5640f6f000001
awesome VimGolf challenge: That hyphen @,689,2522,https://www.vimgolf.com/challenges/54345d14d529ef0002227d4c
awesome VimGolf challenge: attr_aligner @,687,3405,https://www.vimgolf.com/challenges/524e1a20b81fe50002000008
awesome VimGolf challenge: One to Ten @,651,2124,https://www.vimgolf.com/challenges/5c4d042acfafb4000c9f06c2
awesome VimGolf challenge: Make it more readable @,636,1930,https://www.vimgolf.com/challenges/4ef209ef78702b0001000019
awesome VimGolf challenge: Numbering a List @,635,1846,https://www.vimgolf.com/challenges/4d716c76919202611400002b
